scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,312,1.3,0.3894798240335974,0.742974346092072,1.2976939250100754,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,336,1.4,0.5369728949145854,0.9593971380868906,1.3043465863235366,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,360,1.5,0.6778428762366407,1.1664459364320918,1.3095392815877038,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,384,1.6,0.8103181017653159,1.3613999900587859,1.3140994516749829,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,408,1.7,0.9330664420905294,1.5422217852827869,1.3177413907972526,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,432,1.8,1.0450973704565065,1.707411552670913,1.3205113975445293,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,456,1.9,1.1456907709395425,1.8558898169312577,1.3230646207152037,1.232643972587224,1.0,1.0,1.0
mass_only,1,2109564611,-0.8471205482555197,-1.049728865806801,1.054064889537167,1.3,2.1,1.4,1.232643972587224,1.0,1.0,1.0,480,2.0,1.23456877785349,1.9872352070234982,1.3247933939316716,1.232643972587224,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,0,0.0,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,24,0.1,1.0179682575113462,1.0390019446341137,1.2271627218638088,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,48,0.2,1.0194900961771272,1.0447893825507297,1.2409667945086857,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,72,0.3,1.0232625712189467,1.0590572323673149,1.2525098180064749,1.3258878252537856,1.0,1.0,1.0
